tweet,tweet_1,tweet_2,mentions,themes,HS,TR,AG
"Hurray, saving us $$$ in so many ways @potus @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike","Hurray, saving us $$$ in so many ways",hurray save way,"['@potus', '@realDonaldTrump']",[],1,0,0
"Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe.... https://t.co/Ks0SHbtYqn","Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe....",young fighting age man vast majority escape war amp fight like woman child elderlyit majority refugee actually refugee economic migrant try europe,['Neil Young'],['Europe'],1,0,0
"@KamalaHarris Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe","Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal in their Country not on the Taxpayer Dime Its a SCAM",illegal dump kid border like road kill refuse unite hope amnesty free education welfare illegal country taxpayer dime scam,['@KamalaHarris'],"['Amnesty International', 'Fraud']",1,0,0
NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6,NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants,ny time nearly white state pose array problem immigrant,[],"['U.S.', 'the United States Census', 'The New York Times']",0,0,0
"Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants https://t.co/NeYFyqvYlX","Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants",orban brussels european leader ignore people want migrant,['Viktor Orbán'],"['Brussels', 'European Union']",0,0,0
@KurtSchlichter LEGAL is. Not illegal. #BuildThatWall,LEGAL is. Not illegal.,legal illegal,['@KurtSchlichter'],[],1,0,0
"@RitaPanahi @826Maureen @RealCandaceO Antifa are just a pack of druggie misfits that no one loves, being the violent thugs they are is their cry for attention and their hit of self importance.#JuvenileDelinquents","Antifa are just a pack of druggie misfits that no one loves, being the violent thugs they are is their cry for attention and their hit of self importance.",antifa pack druggie misfit love violent thug cry attention hit self importance,"['@RitaPanahi', '@826Maureen', '@RealCandaceO']",[],0,0,0
Ex-Teacher Pleads Not guilty To Rape Charges https://t.co/D2mGu3VT5G,Ex-Teacher Pleads Not guilty To Rape Charges,exteacher plead guilty rape charge,[],['Acquittal'],0,0,0
still places on our Bengali (Sylheti) class! it's London's 2nd language! know anyone interested @SBSisters @refugeecouncil @DocsNotCops https://t.co/sOx6shjvMx,still places on our Bengali (Sylheti) class! it's London's nd language! know anyone interested,place bengali sylheti class london nd language know interested,"['@SBSisters', '@refugeecouncil', '@DocsNotCops']","['Bengali', 'London']",0,0,0
DFID Africa Regional Profile: July 2018 https://t.co/npfZCriW0w,DFID Africa Regional Profile: July,dfid africa regional profile july,[],"['Africa', 'Department for International Development']",0,0,0
